,Частота
арво,114
метс,50
в,858
осенних,13
лесах,12
избранное,1
стихотворения,32
судьба,20
русского,25
поэта,49
это,118
замечательно,1
когда,55
мы,72
можем,3
говорить,6
не,306
о,115
пресловутых,1
жизни,34
и,634
творчестве,3
а,135
судьбе,3
есть,22
люди,14
судьбы,4
второе,2
редкость,2
хотя,18
бы,66
потому,13
что,168
ведет,2
тех,6
ком,3
подлинность,1
от,84
судеб,1
защиты,1
нет,26
слово,11
происходит,7
выражения,2
суд,1
божий,2
этим,6
все,109
сказано,2
предопределение,1
удивление,1
я,230
сам,20
знаю,19
как,183
меня,33
парня,6
из,108
эстонской,9
глуши,5
настигла,7
ноябрь,1
го,2
года,13
страшно,5
подумать,1
наш,11
век,4
оказался,1
прошлым,1
веком,3
сырые,1
холодные,2
дни,2
приехал,2
москву,1
на,304
вступительные,2
экзамены,2
аспирантуру,2
литературного,5
института,9
имени,5
горького,3
твери,1
тогда,16
калинина,1
институт,4
его,105
таинственность,1
чудное,1
расположение,1
тверском,1
бульваре,1
вся,8
цепь,1
былого,1
дум,1
сопряженная,1
с,213
пространством,1
внушали,1
мне,59
восхищение,3
ужас,1
обычно,4
случается,1
провинциалом,1
столице,1
никого,2
знал,4
прославленном,1
заведении,1
пугался,1
углов,1
коридоров,2
аудиторий,1
но,105
более,19
всего,38
обитателей,1
старших,1
младших,1
великих,3
теней,1
населявших,1
к,145
тому,8
же,72
надо,6
было,57
сдавать,1
перед,12
именитой,1
комиссией,1
одним,3
словом,9
страх,1
трепет,3
голову,4
могло,1
прийти,2
отныне,1
долгие-долгие,1
годы,16
треть,1
века,4
моя,12
жизнь,21
будет,13
безраздельно,1
принадлежать,1
институту,1
несколько,13
молодых,1
людей,16
вместе,11
которыми,2
проходил,1
эти,25
испытания,1
вели,1
себя,21
свободно,1
весело,2
просто,3
по-свойски,1
они,37
были,22
выпускниками,1
начинающими,1
поэтами,5
прозаиками,1
переводчиками,1
критиками,1
сказал,6
литинститутовцами,1
по,89
происхождению,1
прошли,4
учебный,1
творческий,2
курс,3
застолий,1
бесед,1
споров,1
всей,2
той,8
особенной,1
которая,16
невидимо,1
клубится,1
пределах,1
бывшей,1
городской,3
усадьбы,1
адресом,1
тверской,1
бульвар,1
завидовал,1
людям,7
смотрел,2
всех,9
снизу,1
вверх,5
один,17
них,21
несуетный,1
молодой,3
человек,23
растерянно-деликатный,1
исполненный,1
печальной,1
скромности,1
привлекал,1
походке,1
повадках,1
лице,2
угадывалась,1
нечто,3
скандинавско-прибалтийское,1
мягкой,2
неторопливости,1
отдельности,1
живущий,1
возле,5
моря,1
хозяин,1
хутора,1
мызы,1
пастор,1
сельской,1
кирхи,1
был,31
эстония,6
маленькая,8
за,79
буреломами,3
разливами,3
рек,3
вот-вот,5
отколется,3
уплывет,3
вдаль,5
поступили,1
кафедру,2
советской,1
литературы,11
художественного,6
перевода,2
влекли,1
тайны,3
верлибра,40
занимался,1
он,95
глубоко,2
основательно,1
ныне,3
метса,26
почитают,1
классиком,1
для,43
многих,10
верлибр,26
чужеродное,1
русской,16
поэзии,51
больше,25
годится,1
переводов,2
японской,2
или,47
китайской,1
классической,1
новейшей,2
европейской,1
лирики,2
хочу,14
вдаваться,1
досужие,1
цеховые,1
вопросы,5
первых,5
дней,3
знакомства,1
совершенно,9
ясно,3
поэт,34
национальности,2
божией,2
милостью,1
говаривали,1
старину,1
чистейшее,1
воплощение,1
лирика,7
нем,12
что-то,11
хлебниковское,1
упал,1
облака,6
этом,22
падении,1
узрел,1
пеструю,1
восхитительность,1
мира,21
власть,1
подробностей,1
музыку,3
целого,1
силу,3
лёта,1
волшебное,1
изящество,1
изображении,1
природы,2
состояния,1
души,2
соседствует,1
у,52
откровениями,1
мудреца,1
провидца,1
пути,10
цивилизации,6
нагорной,3
проповеди,3
нагорному,3
карабаху,3
игра,2
слов,8
столкновение,1
смыслов,2
так,65
узреть,1
кошмар,1
кровавое,1
наваждение,1
-х,3
годов,5
их,34
фальшь,2
жестокость,1
воздух,9
густеет,3
превращается,4
свинец,3
довольно,4
долгое,1
время,35
после,24
